Bevölkerung nach Alter

Durchschnittsalter (in Jahren)
Gemeinden
2016-01-01
© Statistik Austria  - Kartographie und GIS
Download: 2022-08-02 13:15:9

ID;Name;Wert;
10101;Eisenstadt;42.6;
10201;Rust;46.24;
10301;Breitenbrunn am Neusiedler See;47.25;
10302;Donnerskirchen;46.18;
10303;Großhöflein;42.92;
10304;Hornstein;45.1;
10305;Klingenbach;44.17;
10306;Leithaprodersdorf;41.91;
10307;Mörbisch am See;46.24;
10308;Müllendorf;43.92;
10309;Neufeld an der Leitha;43.98;
10310;Oggau am Neusiedler See;46.02;
10311;Oslip;46.31;
10312;Purbach am Neusiedler See;45.17;
10313;Sankt Margarethen im Burgenland;46.29;
10314;Schützen am Gebirge;45.24;
10315;Siegendorf;44.43;
10316;Steinbrunn;43.07;
10317;Trausdorf an der Wulka;45.05;
10318;Wimpassing an der Leitha;40.42;
10319;Wulkaprodersdorf;43.54;
10320;Loretto;46.33;
10321;Stotzing;41.54;
10322;Zillingtal;43.51;
10323;Zagersdorf;45.7;
10401;Bocksdorf;46.83;
10402;Burgauberg-Neudauberg;43.72;
10403;Eberau;49.64;
10404;Gerersdorf-Sulz;47.73;
10405;Güssing;47.29;
10406;Güttenbach;50.56;
10407;Heiligenbrunn;47.41;
10408;Kukmirn;46.37;
10409;Neuberg im Burgenland;46.94;
10410;Neustift bei Güssing;50.25;
10411;Olbendorf;47.15;
10412;Ollersdorf im Burgenland;46.79;
10413;Sankt Michael im Burgenland;47.43;
10414;Stegersbach;44.51;
10415;Stinatz;43.5;
10416;Strem;49.63;
10417;Tobaj;43.95;
10418;Hackerberg;46.33;
10419;Wörterberg;41.83;
10420;Großmürbisch;48.14;
10421;Inzenhof;44.62;
10422;Kleinmürbisch;46.97;
10423;Tschanigraben;50.21;
10424;Heugraben;49.26;
10425;Rohr im Burgenland;47.54;
10426;Bildein;48.4;
10427;Rauchwart;46.87;
10428;Moschendorf;46.43;
10501;Deutsch Kaltenbrunn;46;
10502;Eltendorf;47.12;
10503;Heiligenkreuz im Lafnitztal;47.17;
10504;Jennersdorf;46.44;
10505;Minihof-Liebau;45.63;
10506;Mogersdorf;45.89;
10507;Neuhaus am Klausenbach;46.8;
10508;Rudersdorf;44.58;
10509;Sankt Martin an der Raab;46.69;
10510;Weichselbaum;47.23;
10511;Königsdorf;46.43;
10512;Mühlgraben;44.22;
10601;Draßburg;46.25;
10602;Forchtenstein;44.33;
10603;Hirm;42.79;
10604;Loipersbach im Burgenland;44.63;
10605;Marz;43.58;
10606;Mattersburg;42.12;
10607;Neudörfl;42.26;
10608;Pöttelsdorf;43.95;
10609;Pöttsching;44.5;
10610;Rohrbach bei Mattersburg;44.11;
10611;Bad Sauerbrunn;44.22;
10612;Schattendorf;45.36;
10613;Sieggraben;44.41;
10614;Sigleß;44.36;
10615;Wiesen;45.03;
10616;Antau;44.15;
10617;Baumgarten;46.05;
10618;Zemendorf-Stöttera;43.99;
10619;Krensdorf;41.79;
10701;Andau;47.59;
10702;Apetlon;48.72;
10703;Bruckneudorf;39.7;
10704;Deutsch Jahrndorf;46.17;
10705;Frauenkirchen;45.98;
10706;Gattendorf;41.95;
10707;Gols;43.4;
10708;Halbturn;46.24;
10709;Illmitz;48.04;
10710;Jois;43.55;
10711;Kittsee;39.95;
10712;Mönchhof;44.37;
10713;Neusiedl am See;41.38;
10714;Nickelsdorf;45.41;
10715;Pama;43.38;
10716;Pamhagen;46.37;
10717;Parndorf;39.46;
10718;Podersdorf am See;46.41;
10719;Sankt Andrä am Zicksee;47.53;
10720;Tadten;49.37;
10721;Wallern im Burgenland;46.86;
10722;Weiden am See;45.25;
10723;Winden am See;43.92;
10724;Zurndorf;44.62;
10725;Neudorf;46.39;
10726;Potzneusiedl;41.24;
10727;Edelstal;44.6;
10801;Deutschkreutz;46.83;
10802;Draßmarkt;45.93;
10803;Frankenau-Unterpullendorf;49.34;
10804;Großwarasdorf;49.83;
10805;Horitschon;44.17;
10806;Kaisersdorf;44.85;
10807;Kobersdorf;44.35;
10808;Lackenbach;46.42;
10809;Lockenhaus;45.26;
10810;Lutzmannsburg;47.57;
10811;Mannersdorf an der Rabnitz;46.6;
10812;Markt Sankt Martin;45.17;
10813;Neckenmarkt;44.44;
10814;Neutal;44.46;
10815;Nikitsch;51.81;
10816;Oberpullendorf;44.81;
10817;Pilgersdorf;45.72;
10818;Piringsdorf;45.17;
10819;Raiding;47.63;
10820;Ritzing;47.73;
10821;Steinberg-Dörfl;45.56;
10822;Stoob;44.54;
10823;Weppersdorf;44.6;
10824;Lackendorf;45.87;
10825;Unterfrauenhaid;42.69;
10826;Unterrabnitz-Schwendgraben;42.37;
10827;Weingraben;48.51;
10828;Oberloisdorf;43.9;
10901;Bad Tatzmannsdorf;45.29;
10902;Bernstein;47.01;
10903;Deutsch Schützen-Eisenberg;49.58;
