Bevölkerung nach Staatsangehörigkeitsgruppen

Anteil ausländische Staatsangehörige in %
Gemeinden
2018-01-01
© Statistik Austria  - Kartographie und GIS
Download: 2022-08-02 16:2:52

ID;Name;%;abs.;
10101;Eisenstadt;14.78;2,139;
10201;Rust;6.04;116;
10301;Breitenbrunn am Neusiedler See;5.93;115;
10302;Donnerskirchen;4.92;89;
10303;Großhöflein;5.18;106;
10304;Hornstein;9.76;294;
10305;Klingenbach;14.68;172;
10306;Leithaprodersdorf;4.19;50;
10307;Mörbisch am See;7.7;174;
10308;Müllendorf;6.37;89;
10309;Neufeld an der Leitha;9.45;323;
10310;Oggau am Neusiedler See;3.74;65;
10311;Oslip;7.4;92;
10312;Purbach am Neusiedler See;6;174;
10313;Sankt Margarethen im Burgenland;3.49;92;
10314;Schützen am Gebirge;8.12;113;
10315;Siegendorf;13.43;398;
10316;Steinbrunn;7.69;201;
10317;Trausdorf an der Wulka;6.93;143;
10318;Wimpassing an der Leitha;8.13;126;
10319;Wulkaprodersdorf;11.37;221;
10320;Loretto;3.37;16;
10321;Stotzing;6.79;57;
10322;Zillingtal;8.15;76;
10323;Zagersdorf;9.54;98;
10401;Bocksdorf;2.95;24;
10402;Burgauberg-Neudauberg;5.96;81;
10403;Eberau;10.76;98;
10404;Gerersdorf-Sulz;5.92;60;
10405;Güssing;9.22;337;
10406;Güttenbach;9.13;82;
10407;Heiligenbrunn;2.64;20;
10408;Kukmirn;5.07;102;
10409;Neuberg im Burgenland;3.78;37;
10410;Neustift bei Güssing;5.06;24;
10411;Olbendorf;4.62;67;
10412;Ollersdorf im Burgenland;3.86;36;
10413;Sankt Michael im Burgenland;4.88;47;
10414;Stegersbach;9.63;256;
10415;Stinatz;14.89;188;
10416;Strem;7.33;66;
10417;Tobaj;10.57;145;
10418;Hackerberg;7.84;28;
10419;Wörterberg;5.33;26;
10420;Großmürbisch;4.55;11;
10421;Inzenhof;8.08;27;
10422;Kleinmürbisch;0.88;2;
10423;Tschanigraben;3.23;2;
10424;Heugraben;3.7;8;
10425;Rohr im Burgenland;2.11;8;
10426;Bildein;13.41;46;
10427;Rauchwart;4.71;21;
10428;Moschendorf;7.25;29;
10501;Deutsch Kaltenbrunn;3.83;66;
10502;Eltendorf;9.12;87;
10503;Heiligenkreuz im Lafnitztal;11.7;144;
10504;Jennersdorf;6.3;258;
10505;Minihof-Liebau;5.12;54;
10506;Mogersdorf;9.97;116;
10507;Neuhaus am Klausenbach;4.13;38;
10508;Rudersdorf;3.91;85;
10509;Sankt Martin an der Raab;3.16;62;
10510;Weichselbaum;6.11;44;
10511;Königsdorf;4.44;32;
10512;Mühlgraben;4.04;16;
10601;Draßburg;10.43;125;
10602;Forchtenstein;5.04;141;
10603;Hirm;12.49;126;
10604;Loipersbach im Burgenland;7.08;87;
10605;Marz;7.48;155;
10606;Mattersburg;9.51;699;
10607;Neudörfl;11.57;528;
10608;Pöttelsdorf;3.4;25;
10609;Pöttsching;6.68;197;
10610;Rohrbach bei Mattersburg;7.31;198;
10611;Bad Sauerbrunn;8.61;191;
10612;Schattendorf;5.8;138;
10613;Sieggraben;5.69;71;
10614;Sigleß;6.17;73;
10615;Wiesen;4.57;123;
10616;Antau;7.12;54;
10617;Baumgarten;9.28;83;
10618;Zemendorf-Stöttera;10.33;131;
