Bevölkerungsstand

Bevölkerungszahl absolut
Gemeinden
2022-01-01
© Statistik Austria  - Kartographie und GIS
Download: 2022-08-03 7:57:24

ID;Name;Wert;
10101;Eisenstadt;15240;
10201;Rust;1984;
10301;Breitenbrunn am Neusiedler See;1890;
10302;Donnerskirchen;1846;
10303;Großhöflein;2122;
10304;Hornstein;3217;
10305;Klingenbach;1255;
10306;Leithaprodersdorf;1212;
10307;Mörbisch am See;2192;
10308;Müllendorf;1400;
10309;Neufeld an der Leitha;3640;
10310;Oggau am Neusiedler See;1741;
10311;Oslip;1291;
10312;Purbach am Neusiedler See;2925;
10313;Sankt Margarethen im Burgenland;2691;
10314;Schützen am Gebirge;1436;
10315;Siegendorf;3203;
10316;Steinbrunn;2992;
10317;Trausdorf an der Wulka;2083;
10318;Wimpassing an der Leitha;1717;
10319;Wulkaprodersdorf;1974;
10320;Loretto;501;
10321;Stotzing;825;
10322;Zillingtal;990;
10323;Zagersdorf;1114;
10401;Bocksdorf;804;
10402;Burgauberg-Neudauberg;1327;
10403;Eberau;921;
10404;Gerersdorf-Sulz;1024;
10405;Güssing;3578;
10406;Güttenbach;871;
10407;Heiligenbrunn;743;
10408;Kukmirn;2012;
10409;Neuberg im Burgenland;957;
10410;Neustift bei Güssing;447;
10411;Olbendorf;1458;
10412;Ollersdorf im Burgenland;921;
10413;Sankt Michael im Burgenland;986;
10414;Stegersbach;2701;
10415;Stinatz;1205;
10416;Strem;886;
10417;Tobaj;1351;
10418;Hackerberg;363;
10419;Wörterberg;481;
10420;Großmürbisch;233;
10421;Inzenhof;330;
10422;Kleinmürbisch;231;
10423;Tschanigraben;65;
10424;Heugraben;224;
10425;Rohr im Burgenland;367;
10426;Bildein;341;
10427;Rauchwart;454;
10428;Moschendorf;387;
10501;Deutsch Kaltenbrunn;1752;
10502;Eltendorf;903;
10503;Heiligenkreuz im Lafnitztal;1262;
10504;Jennersdorf;4154;
10505;Minihof-Liebau;1057;
10506;Mogersdorf;1136;
10507;Neuhaus am Klausenbach;917;
10508;Rudersdorf;2165;
10509;Sankt Martin an der Raab;1956;
10510;Weichselbaum;703;
10511;Königsdorf;768;
10512;Mühlgraben;385;
10601;Draßburg;1244;
10602;Forchtenstein;2802;
10603;Hirm;1037;
10604;Loipersbach im Burgenland;1194;
10605;Marz;2111;
10606;Mattersburg;7558;
10607;Neudörfl;4853;
10608;Pöttelsdorf;771;
10609;Pöttsching;2985;
10610;Rohrbach bei Mattersburg;2614;
10611;Bad Sauerbrunn;2252;
10612;Schattendorf;2397;
10613;Sieggraben;1269;
10614;Sigleß;1157;
10615;Wiesen;2758;
10616;Antau;783;
10617;Baumgarten;912;
10618;Zemendorf-Stöttera;1255;
10619;Krensdorf;641;
10701;Andau;2254;
10702;Apetlon;1734;
10703;Bruckneudorf;3042;
10704;Deutsch Jahrndorf;656;
10705;Frauenkirchen;2875;
10706;Gattendorf;1442;
10707;Gols;3960;
10708;Halbturn;1926;
10709;Illmitz;2372;
10710;Jois;1626;
10711;Kittsee;3506;
10712;Mönchhof;2194;
10713;Neusiedl am See;8657;
10714;Nickelsdorf;1830;
10715;Pama;1250;
10716;Pamhagen;1547;
10717;Parndorf;5209;
10718;Podersdorf am See;2137;
10719;Sankt Andrä am Zicksee;1381;
10720;Tadten;1162;
10721;Wallern im Burgenland;1664;
10722;Weiden am See;2555;
10723;Winden am See;1390;
10724;Zurndorf;2267;
10725;Neudorf;735;
10726;Potzneusiedl;636;
10727;Edelstal;799;
10801;Deutschkreutz;3160;
10802;Draßmarkt;1359;
10803;Frankenau-Unterpullendorf;1057;
10804;Großwarasdorf;1351;
10805;Horitschon;1827;
10806;Kaisersdorf;606;
10807;Kobersdorf;1896;
10808;Lackenbach;1154;
10809;Lockenhaus;2017;
10810;Lutzmannsburg;828;
10811;Mannersdorf an der Rabnitz;1777;
10812;Markt Sankt Martin;1273;
10813;Neckenmarkt;1658;
10814;Neutal;1128;
10815;Nikitsch;1413;
10816;Oberpullendorf;3259;
10817;Pilgersdorf;1606;
10818;Piringsdorf;843;
10819;Raiding;895;
10820;Ritzing;908;
10821;Steinberg-Dörfl;1286;
10822;Stoob;1359;
10823;Weppersdorf;1829;
10824;Lackendorf;596;
10825;Unterfrauenhaid;653;
10826;Unterrabnitz-Schwendgraben;634;
10827;Weingraben;355;
10828;Oberloisdorf;797;
10901;Bad Tatzmannsdorf;1628;
10902;Bernstein;2079;
10903;Deutsch Schützen-Eisenberg;1079;
10904;Grafenschachen;1243;
10905;Großpetersdorf;3560;
10906;Hannersdorf;741;
10907;Kemeten;1512;
10908;Kohfidisch;1467;
10909;Litzelsdorf;1151;
10910;Loipersdorf-Kitzladen;1339;
10911;Mariasdorf;1144;
10912;Markt Allhau;1910;
10913;Markt Neuhodis;662;
10914;Mischendorf;1492;
10915;Oberdorf im Burgenland;997;
10916;Oberschützen;2457;
10917;Oberwart;7723;
10918;Pinkafeld;5915;
10919;Rechnitz;2987;
10920;Riedlingsdorf;1639;
10921;Rotenturm an der Pinka;1447;
10922;Schachendorf;758;
10923;Stadtschlaining;1980;
10924;Unterkohlstätten;972;
10925;Unterwart;967;
10926;Weiden bei Rechnitz;809;
10927;Wiesfleck;1154;
10928;Wolfau;1450;
10929;Neustift an der Lafnitz;792;
10930;Jabing;752;
10931;Badersdorf;279;
10932;Schandorf;268;
20101;Klagenfurt am Wörthersee;102618;
20201;Villach;64071;
20302;Dellach;1201;
20305;Hermagor-Pressegger See;6921;
20306;Kirchbach;2503;
20307;Kötschach-Mauthen;3310;
20316;St. Stefan im Gailtal;1584;
20320;Gitschtal;1235;
20321;Lesachtal;1276;
20402;Ebenthal in Kärnten;8137;
20403;Feistritz im Rosental;2545;
20405;Ferlach;7253;
20409;Grafenstein;3048;
20412;Keutschach am See;2405;
20414;Köttmannsdorf;3129;
20415;Krumpendorf am Wörthersee;3502;
20416;Ludmannsdorf;1818;
20417;Maria Rain;2680;
20418;Maria Saal;3947;
20419;Maria Wörth;1609;
20421;Moosburg;4531;
20424;Pörtschach am Wörther See;2869;
20425;Poggersdorf;3264;
20428;St. Margareten im Rosental;1092;
20432;Schiefling am Wörthersee;2655;
20435;Techelsberg am Wörther See;2240;
20441;Zell;597;
20442;Magdalensberg;3650;
20501;Althofen;4702;
20502;Brückl;2719;
20503;Deutsch-Griffen;854;
20504;Eberstein;1230;
20505;Friesach;4893;
20506;Glödnitz;825;
20508;Gurk;1199;
20509;Guttaring;1496;
20511;Hüttenberg;1312;
20512;Kappel am Krappfeld;1961;
20513;Klein St. Paul;1745;
20515;Liebenfels;3388;
20518;Metnitz;1891;
20519;Micheldorf;993;
20520;Mölbling;1338;
20523;St. Georgen am Längsee;3564;
20527;St. Veit an der Glan;12232;
20530;Straßburg;1998;
20531;Weitensfeld im Gurktal;2008;
20534;Frauenstein;3550;
20601;Bad Kleinkirchheim;1664;
20602;Baldramsdorf;1835;
20603;Berg im Drautal;1237;
20604;Dellach im Drautal;1583;
20605;Großkirchheim;1316;
20607;Flattach;1187;
20608;Gmünd in Kärnten;2534;
20609;Greifenburg;1721;
20610;Heiligenblut am Großglockner;966;
20611;Irschen;1960;
20613;Kleblach-Lind;1162;
20616;Lendorf;1725;
20618;Mallnitz;756;
20619;Malta;1926;
20620;Millstatt am See;3466;
20622;Mörtschach;818;
20624;Mühldorf;1000;
20625;Oberdrauburg;1176;
20627;Obervellach;2204;
20630;Radenthein;5752;
20631;Rangersdorf;1698;
20632;Rennweg am Katschberg;1724;
20633;Sachsenburg;1369;
20634;Seeboden am Millstätter See;6608;
20635;Spittal an der Drau;15151;
20636;Stall;1481;
20637;Steinfeld;2021;
20638;Trebesing;1160;
20639;Weißensee;766;
20640;Winklern;1199;
20642;Krems in Kärnten;1633;
20643;Lurnfeld;2655;
20644;Reißeck;2096;
20701;Afritz am See;1422;
20702;Arnoldstein;7017;
20703;Arriach;1317;
20705;Bad Bleiberg;2176;
20707;Feistritz an der Gail;655;
20708;Feld am See;1071;
20710;Ferndorf;2040;
20711;Finkenstein am Faaker See;9285;
20712;Fresach;1256;
20713;Hohenthurn;872;
20719;Nötsch im Gailtal;2319;
20720;Paternion;5815;
20721;Rosegg;1891;
20722;St. Jakob im Rosental;4261;
20723;Stockenboi;1589;
20724;Treffen am Ossiacher See;4616;
20725;Velden am Wörther See;9151;
20726;Weißenstein;2940;
20727;Wernberg;5592;
20801;Bleiburg;4127;
20802;Diex;785;
20803;Eberndorf;5919;
20804;Eisenkappel-Vellach;2193;
20805;Feistritz ob Bleiburg;2182;
20806;Gallizien;1758;
20807;Globasnitz;1583;
20808;Griffen;3406;
20810;Neuhaus;1015;
20812;Ruden;1516;
20813;St. Kanzian am Klopeiner See;4564;
20815;Sittersdorf;1953;
20817;Völkermarkt;10904;
20901;Bad St. Leonhard im Lavanttal;4293;
20905;Frantschach-St. Gertraud;2487;
20909;Lavamünd;2841;
20911;Preitenegg;909;
20912;Reichenfels;1749;
20913;St. Andrä;9814;
20914;St. Georgen im Lavanttal;1943;
20918;St. Paul im Lavanttal;3204;
20923;Wolfsberg;25056;
21001;Albeck;1006;
21002;Feldkirchen in Kärnten;14284;
21003;Glanegg;1783;
21004;Gnesau;1026;
21005;Himmelberg;2304;
21006;Ossiach;872;
21007;Reichenau;1765;
21008;St. Urban;1515;
21009;Steindorf am Ossiacher See;3753;
21010;Steuerberg;1582;
30101;Krems an der Donau;24921;
30201;St. Pölten;56360;
30301;Waidhofen an der Ybbs;11092;
30401;Wiener Neustadt;47106;
30501;Allhartsberg;2186;
30502;Amstetten;23653;
30503;Ardagger;3595;
30504;Aschbach-Markt;3781;
30506;Behamberg;3496;
30507;Biberbach;2307;
30508;Ennsdorf;3188;
30509;Ernsthofen;2286;
30510;Ertl;1235;
30511;Euratsfeld;2701;
30512;Ferschnitz;1827;
30514;Haag;5680;
30515;Haidershofen;3691;
30516;Hollenstein an der Ybbs;1678;
30517;Kematen an der Ybbs;2691;
30520;Neuhofen an der Ybbs;3048;
30521;Neustadtl an der Donau;2153;
30522;Oed-Oehling;2032;
30524;Opponitz;889;
30526;St. Georgen am Reith;537;
30527;St. Georgen am Ybbsfelde;2871;
30529;St. Pantaleon-Erla;2641;
30530;St. Peter in der Au;5176;
30531;St. Valentin;9339;
30532;Seitenstetten;3437;
30533;Sonntagberg;3705;
30534;Strengberg;2120;
30536;Viehdorf;1352;
30538;Wallsee-Sindelburg;2168;
30539;Weistrach;2286;
30541;Winklarn;1837;
30542;Wolfsbach;2125;
30543;Ybbsitz;3350;
30544;Zeillern;1923;
30601;Alland;2631;
30602;Altenmarkt an der Triesting;2174;
30603;Bad Vöslau;12424;
30604;Baden;25783;
30605;Berndorf;8990;
30607;Ebreichsdorf;11550;
30608;Enzesfeld-Lindabrunn;4188;
30609;Furth an der Triesting;874;
30612;Günselsdorf;1733;
30613;Heiligenkreuz;1545;
30614;Hernstein;1552;
30615;Hirtenberg;2545;
30616;Klausen-Leopoldsdorf;1705;
30618;Kottingbrunn;7388;
30620;Leobersdorf;5118;
30621;Mitterndorf an der Fischa;3059;
30623;Oberwaltersdorf;4943;
30625;Pfaffstätten;3518;
30626;Pottendorf;7457;
30627;Pottenstein;2887;
30629;Reisenberg;1723;
30631;Schönau an der Triesting;2110;
30633;Seibersdorf;1559;
30635;Sooß;1015;
30636;Tattendorf;1423;
30637;Teesdorf;1771;
30639;Traiskirchen;18761;
30641;Trumau;3753;
30645;Weissenbach an der Triesting;1744;
30646;Blumau-Neurißhof;1927;
30701;Au am Leithaberge;953;
30702;Bad Deutsch-Altenburg;1946;
30703;Berg;956;
30704;Bruck an der Leitha;8186;
30706;Enzersdorf an der Fischa;3491;
30708;Göttlesbrunn-Arbesthal;1449;
30709;Götzendorf an der Leitha;2188;
30710;Hainburg a.d. Donau;6892;
30711;Haslau-Maria Ellend;2008;
30712;Höflein;1212;
30713;Hof am Leithaberge;1607;
30715;Hundsheim;636;
30716;Mannersdorf am Leithagebirge;4150;
30718;Petronell-Carnuntum;1285;
30719;Prellenkirchen;1658;
30721;Rohrau;1665;
30722;Scharndorf;1227;
30724;Sommerein;2162;
30726;Trautmannsdorf an der Leitha;2962;
30728;Wolfsthal;1179;
30729;Ebergassing;4050;
30730;Fischamend;5593;
30731;Gramatneusiedl;3697;
30732;Himberg;7828;
30733;Klein-Neusiedl;957;
30734;Lanzendorf;1901;
30735;Leopoldsdorf;5288;
30736;Maria-Lanzendorf;2193;
30737;Moosbrunn;1804;
30738;Rauchenwarth;789;
30739;Schwadorf;2250;
30740;Schwechat;20763;
30741;Zwölfaxing;1711;
30801;Aderklaa;196;
30802;Andlersdorf;148;
30803;Angern an der March;3446;
30804;Auersthal;1954;
30805;Bad Pirawarth;1791;
30808;Deutsch-Wagram;9126;
30810;Drösing;1096;
30811;Dürnkrut;2272;
30812;Ebenthal;925;
30813;Eckartsau;1342;
30814;Engelhartstetten;2128;
30817;Gänserndorf;11950;
30819;Glinzendorf;345;
30821;Groß-Enzersdorf;11817;
30822;Großhofen;104;
30824;Groß-Schweinbarth;1321;
30825;Haringsee;1172;
30826;Hauskirchen;1299;
30827;Hohenau an der March;2755;
30828;Hohenruppersdorf;933;
30829;Jedenspeigen;1117;
30830;Lassee;2971;
30831;Leopoldsdorf im Marchfeld;2910;
30834;Mannsdorf an der Donau;355;
30835;Marchegg;3009;
30836;Markgrafneusiedl;903;
30838;Matzen-Raggendorf;2786;
30841;Neusiedl an der Zaya;1227;
30842;Obersiebenbrunn;1775;
30844;Orth an der Donau;2159;
30845;Palterndorf-Dobermannsdorf;1368;
30846;Parbasdorf;169;
30848;Prottes;1454;
30849;Raasdorf;662;
30850;Ringelsdorf-Niederabsdorf;1271;
30852;Schönkirchen-Reyersdorf;2016;
30854;Spannberg;991;
30856;Strasshof an der Nordbahn;11361;
30857;Sulz im Weinviertel;1227;
30858;Untersiebenbrunn;1793;
