KG_NUMMER;KG;Meridian;GKZ;PG;BKZ;PB;FA_NR;FA;GB_KZ;GB;VA_NR;VA;DS_NR;DS;BL_KZ;BL;FL
"01002";"Alsergrund";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";2963346
"01004";"Innere Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2865620
"01005";"Josefstadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";1089462
"01006";"Landstraße";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";7397808
"01008";"Margarethen";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2013062
"01009";"Mariahilf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";1459959
"01010";"Neubau";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"028";"Josefstadt";"01";"Wien";"";"";"9";"Wien";1606900
"01011";"Wieden";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";1810474
"01101";"Favoriten";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";5282518
"01102";"Inzersdorf Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";7858822
"01103";"Kaiserebersdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";11769533
"01104";"Oberlaa Land";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";4509539
"01105";"Oberlaa Stadt";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";7591094
"01106";"Rothneusiedl";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";1924978
"01107";"Simmering";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";10184203
"01108";"Unterlaa";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"011";"Favoriten";"01";"Wien";"";"";"9";"Wien";3386134
"01109";"Albern";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"010";"Innere Stadt Wien";"01";"Wien";"";"";"9";"Wien";2583736
"01201";"Auhof";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";26090403
"01202";"Breitensee";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";1725549
"01203";"Hacking";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";430544
"01204";"Hadersdorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";20599199
"01205";"Hietzing";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";1230152
"01206";"Hütteldorf";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";6159180
"01207";"Lainz";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";1714573
"01208";"Oberbaumgarten";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";898360
"01209";"Ober St. Veit";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"012";"Hietzing";"01";"Wien";"";"";"9";"Wien";3938350
"01210";"Penzing";"M34";"90001";"Wien";"900";"Wien(Stadt)";"010";"für Gebühren, Verkehrssteuern und Glückspiel";"013";"Fünfhaus";"01";"Wien";"";"";"9";"Wien";1928712
