ID,Name,year,bevölkerung_nach_alter
10101,Eisenstadt,2002,41.32
10201,Rust,2002,42.53
10301,Breitenbrunn am Neusiedler See,2002,42.25
10302,Donnerskirchen,2002,42.17
10303,Großhöflein,2002,39.97
10304,Hornstein,2002,42.5
10305,Klingenbach,2002,41.42
10306,Leithaprodersdorf,2002,38.09
10307,Mörbisch am See,2002,43.63
10308,Müllendorf,2002,40.83
10309,Neufeld an der Leitha,2002,40.38
10310,Oggau am Neusiedler See,2002,41.25
10311,Oslip,2002,40.95
10312,Purbach am Neusiedler See,2002,41.02
10313,Sankt Margarethen im Burgenland,2002,40.47
10314,Schützen am Gebirge,2002,42.22
10315,Siegendorf,2002,41.31
10316,Steinbrunn,2002,42.0
10317,Trausdorf an der Wulka,2002,42.52
10318,Wimpassing an der Leitha,2002,38.39
10319,Wulkaprodersdorf,2002,41.27
10320,Loretto,2002,43.6
10321,Stotzing,2002,38.71
10322,Zillingtal,2002,39.09
10323,Zagersdorf,2002,42.64
10401,Bocksdorf,2002,43.39
10402,Burgauberg-Neudauberg,2002,39.4
10403,Eberau,2002,44.29
10404,Gerersdorf-Sulz,2002,42.15
10405,Güssing,2002,42.43
10406,Güttenbach,2002,43.25
10407,Heiligenbrunn,2002,42.85
10408,Kukmirn,2002,41.98
10409,Neuberg im Burgenland,2002,40.24
10410,Neustift bei Güssing,2002,43.6
10411,Olbendorf,2002,44.54
10412,Ollersdorf im Burgenland,2002,41.38
10413,Sankt Michael im Burgenland,2002,43.46
10414,Stegersbach,2002,42.63
10415,Stinatz,2002,38.9
10416,Strem,2002,42.25
10417,Tobaj,2002,41.0
10418,Hackerberg,2002,40.39
10419,Wörterberg,2002,40.74
10420,Großmürbisch,2002,41.07
10421,Inzenhof,2002,45.84
10422,Kleinmürbisch,2002,40.97
10423,Tschanigraben,2002,46.22
10424,Heugraben,2002,42.47
10425,Rohr im Burgenland,2002,42.35
10426,Bildein,2002,46.39
10427,Rauchwart,2002,42.45
10428,Moschendorf,2002,45.13
10501,Deutsch Kaltenbrunn,2002,42.02
10502,Eltendorf,2002,41.51
10503,Heiligenkreuz im Lafnitztal,2002,43.14
10504,Jennersdorf,2002,41.23
10505,Minihof-Liebau,2002,41.14
10506,Mogersdorf,2002,42.74
10507,Neuhaus am Klausenbach,2002,42.14
10508,Rudersdorf,2002,40.84
10509,Sankt Martin an der Raab,2002,42.6
10510,Weichselbaum,2002,42.6
10511,Königsdorf,2002,43.41
10512,Mühlgraben,2002,37.87
10601,Draßburg,2002,44.74
10602,Forchtenstein,2002,40.19
10603,Hirm,2002,41.74
10604,Loipersbach im Burgenland,2002,40.36
10605,Marz,2002,40.24
10606,Mattersburg,2002,40.06
10607,Neudörfl,2002,39.66
10608,Pöttelsdorf,2002,41.86
10609,Pöttsching,2002,40.41
10610,Rohrbach bei Mattersburg,2002,40.23
10611,Bad Sauerbrunn,2002,40.81
10612,Schattendorf,2002,41.49
10613,Sieggraben,2002,40.98
10614,Sigleß,2002,41.18
10615,Wiesen,2002,41.36
10616,Antau,2002,40.88
10617,Baumgarten,2002,41.51
10618,Zemendorf-Stöttera,2002,40.22
10619,Krensdorf,2002,38.93
10701,Andau,2002,42.84
10702,Apetlon,2002,42.96
10703,Bruckneudorf,2002,36.21
10704,Deutsch Jahrndorf,2002,45.68
10705,Frauenkirchen,2002,41.86
10706,Gattendorf,2002,42.28
10707,Gols,2002,40.77
10708,Halbturn,2002,42.41
10709,Illmitz,2002,42.33
10710,Jois,2002,41.65
10711,Kittsee,2002,44.65
10712,Mönchhof,2002,41.24
10713,Neusiedl am See,2002,38.27
10714,Nickelsdorf,2002,43.36
10715,Pama,2002,41.22
10716,Pamhagen,2002,41.75
10717,Parndorf,2002,38.0
10718,Podersdorf am See,2002,41.92
10719,Sankt Andrä am Zicksee,2002,43.45
10720,Tadten,2002,43.33
10721,Wallern im Burgenland,2002,41.65
10722,Weiden am See,2002,42.4
10723,Winden am See,2002,40.76
10724,Zurndorf,2002,41.19
10725,Neudorf,2002,42.71
10726,Potzneusiedl,2002,43.84
10727,Edelstal,2002,42.86
10801,Deutschkreutz,2002,42.82
10802,Draßmarkt,2002,41.66
10803,Frankenau-Unterpullendorf,2002,43.49
10804,Großwarasdorf,2002,45.38
10805,Horitschon,2002,39.74
10806,Kaisersdorf,2002,44.43
10807,Kobersdorf,2002,41.13
10808,Lackenbach,2002,41.04
10809,Lockenhaus,2002,41.76
10810,Lutzmannsburg,2002,44.72
10811,Mannersdorf an der Rabnitz,2002,43.04
10812,Markt Sankt Martin,2002,42.11
10813,Neckenmarkt,2002,41.0
10814,Neutal,2002,42.73
10815,Nikitsch,2002,46.76
10816,Oberpullendorf,2002,40.7
10817,Pilgersdorf,2002,41.3
10818,Piringsdorf,2002,41.4
10819,Raiding,2002,44.44
10820,Ritzing,2002,45.12
10821,Steinberg-Dörfl,2002,43.12
10822,Stoob,2002,40.65
10823,Weppersdorf,2002,40.82
10824,Lackendorf,2002,41.75
10825,Unterfrauenhaid,2002,39.33
10826,Unterrabnitz-Schwendgraben,2002,38.62
10827,Weingraben,2002,43.03
10828,Oberloisdorf,2002,40.7
10901,Bad Tatzmannsdorf,2002,41.57
10902,Bernstein,2002,42.6
10903,Deutsch Schützen-Eisenberg,2002,44.88
10904,Grafenschachen,2002,38.75
10905,Großpetersdorf,2002,41.42
10906,Hannersdorf,2002,44.53
10907,Kemeten,2002,40.24
10908,Kohfidisch,2002,42.99
10909,Litzelsdorf,2002,41.34
10910,Loipersdorf-Kitzladen,2002,37.01
10911,Mariasdorf,2002,41.99
10912,Markt Allhau,2002,40.47
10913,Markt Neuhodis,2002,41.01
10914,Mischendorf,2002,41.77
10915,Oberdorf im Burgenland,2002,39.99
10916,Oberschützen,2002,42.05
10917,Oberwart,2002,40.26
10918,Pinkafeld,2002,39.87
10919,Rechnitz,2002,43.39
10920,Riedlingsdorf,2002,39.44
10921,Rotenturm an der Pinka,2002,41.29
10922,Schachendorf,2002,43.09
10923,Stadtschlaining,2002,41.91
10924,Unterkohlstätten,2002,40.89
