ID,Name,year,bevölkerungsstand
10101,Eisenstadt,2008,12549
10201,Rust,2008,1814
10301,Breitenbrunn am Neusiedler See,2008,1816
10302,Donnerskirchen,2008,1717
10303,Großhöflein,2008,1845
10304,Hornstein,2008,2678
10305,Klingenbach,2008,1139
10306,Leithaprodersdorf,2008,1155
10307,Mörbisch am See,2008,2384
10308,Müllendorf,2008,1291
10309,Neufeld an der Leitha,2008,3145
10310,Oggau am Neusiedler See,2008,1806
10311,Oslip,2008,1298
10312,Purbach am Neusiedler See,2008,2669
10313,Sankt Margarethen im Burgenland,2008,2749
10314,Schützen am Gebirge,2008,1389
10315,Siegendorf,2008,2796
10316,Steinbrunn,2008,2184
10317,Trausdorf an der Wulka,2008,1870
10318,Wimpassing an der Leitha,2008,1166
10319,Wulkaprodersdorf,2008,1854
10320,Loretto,2008,409
10321,Stotzing,2008,816
10322,Zillingtal,2008,886
10323,Zagersdorf,2008,956
10401,Bocksdorf,2008,804
10402,Burgauberg-Neudauberg,2008,1384
10403,Eberau,2008,978
10404,Gerersdorf-Sulz,2008,1064
10405,Güssing,2008,3761
10406,Güttenbach,2008,949
10407,Heiligenbrunn,2008,842
10408,Kukmirn,2008,1991
10409,Neuberg im Burgenland,2008,1022
10410,Neustift bei Güssing,2008,513
10411,Olbendorf,2008,1367
10412,Ollersdorf im Burgenland,2008,976
10413,Sankt Michael im Burgenland,2008,1051
10414,Stegersbach,2008,2434
10415,Stinatz,2008,1378
10416,Strem,2008,933
10417,Tobaj,2008,1448
10418,Hackerberg,2008,357
10419,Wörterberg,2008,481
10420,Großmürbisch,2008,272
10421,Inzenhof,2008,313
10422,Kleinmürbisch,2008,251
10423,Tschanigraben,2008,65
10424,Heugraben,2008,230
10425,Rohr im Burgenland,2008,382
10426,Bildein,2008,316
10427,Rauchwart,2008,466
10428,Moschendorf,2008,422
10501,Deutsch Kaltenbrunn,2008,1764
10502,Eltendorf,2008,1012
10503,Heiligenkreuz im Lafnitztal,2008,1238
10504,Jennersdorf,2008,4211
10505,Minihof-Liebau,2008,1136
10506,Mogersdorf,2008,1152
10507,Neuhaus am Klausenbach,2008,973
10508,Rudersdorf,2008,2149
10509,Sankt Martin an der Raab,2008,2082
10510,Weichselbaum,2008,742
10511,Königsdorf,2008,722
10512,Mühlgraben,2008,441
10601,Draßburg,2008,1089
10602,Forchtenstein,2008,2828
10603,Hirm,2008,947
10604,Loipersbach im Burgenland,2008,1270
10605,Marz,2008,1986
10606,Mattersburg,2008,6804
10607,Neudörfl,2008,4280
10608,Pöttelsdorf,2008,678
10609,Pöttsching,2008,2815
10610,Rohrbach bei Mattersburg,2008,2697
10611,Bad Sauerbrunn,2008,1987
10612,Schattendorf,2008,2392
10613,Sieggraben,2008,1275
10614,Sigleß,2008,1119
10615,Wiesen,2008,2817
10616,Antau,2008,729
10617,Baumgarten,2008,858
10618,Zemendorf-Stöttera,2008,1248
10619,Krensdorf,2008,618
10701,Andau,2008,2397
10702,Apetlon,2008,1812
10703,Bruckneudorf,2008,2835
10704,Deutsch Jahrndorf,2008,580
10705,Frauenkirchen,2008,2877
10706,Gattendorf,2008,1157
10707,Gols,2008,3631
10708,Halbturn,2008,1937
10709,Illmitz,2008,2446
10710,Jois,2008,1398
10711,Kittsee,2008,1901
10712,Mönchhof,2008,2294
10713,Neusiedl am See,2008,6399
10714,Nickelsdorf,2008,1525
10715,Pama,2008,1032
10716,Pamhagen,2008,1714
10717,Parndorf,2008,3878
10718,Podersdorf am See,2008,2067
10719,Sankt Andrä am Zicksee,2008,1353
10720,Tadten,2008,1259
10721,Wallern im Burgenland,2008,1865
