ID,Name,year,familien_nach_typ_p,familien_nach_typ_abs
10101,Eisenstadt,2011,67.56,2430
10201,Rust,2011,76.32,419
10301,Breitenbrunn am Neusiedler See,2011,74.43,425
10302,Donnerskirchen,2011,77.36,393
10303,Großhöflein,2011,78.25,464
10304,Hornstein,2011,73.8,614
10305,Klingenbach,2011,74.29,260
10306,Leithaprodersdorf,2011,79.82,273
10307,Mörbisch am See,2011,80.4,558
10308,Müllendorf,2011,82.69,320
10309,Neufeld an der Leitha,2011,67.31,624
10310,Oggau am Neusiedler See,2011,78.81,424
10311,Oslip,2011,79.17,304
10312,Purbach am Neusiedler See,2011,74,592
10313,Sankt Margarethen im Burgenland,2011,74.91,597
10314,Schützen am Gebirge,2011,78.95,330
10315,Siegendorf,2011,78.79,706
10316,Steinbrunn,2011,73.99,529
10317,Trausdorf an der Wulka,2011,73.81,420
10318,Wimpassing an der Leitha,2011,76.22,282
10319,Wulkaprodersdorf,2011,77.05,433
10320,Loretto,2011,76.39,110
10321,Stotzing,2011,78.35,181
10322,Zillingtal,2011,75,204
10323,Zagersdorf,2011,83.39,241
10401,Bocksdorf,2011,77.69,188
10402,Burgauberg-Neudauberg,2011,77.75,332
10403,Eberau,2011,77.85,225
10404,Gerersdorf-Sulz,2011,79.8,245
10405,Güssing,2011,72.87,795
10406,Güttenbach,2011,78.38,203
10407,Heiligenbrunn,2011,80.99,196
10408,Kukmirn,2011,71.36,436
10409,Neuberg im Burgenland,2011,73.46,227
10410,Neustift bei Güssing,2011,69.62,110
10411,Olbendorf,2011,74.52,313
10412,Ollersdorf im Burgenland,2011,70.27,208
10413,Sankt Michael im Burgenland,2011,73.79,228
10414,Stegersbach,2011,69.14,493
10415,Stinatz,2011,73.32,283
10416,Strem,2011,77.78,203
10417,Tobaj,2011,75.82,301
10418,Hackerberg,2011,71.82,79
10419,Wörterberg,2011,70.55,103
10420,Großmürbisch,2011,72,54
10421,Inzenhof,2011,75.79,72
10422,Kleinmürbisch,2011,85.33,64
10423,Tschanigraben,2011,81.82,18
10424,Heugraben,2011,72.31,47
10425,Rohr im Burgenland,2011,81.67,98
10426,Bildein,2011,72.64,77
10427,Rauchwart,2011,72.87,94
10428,Moschendorf,2011,81.51,97
10501,Deutsch Kaltenbrunn,2011,75.48,397
10502,Eltendorf,2011,71.58,204
10503,Heiligenkreuz im Lafnitztal,2011,66.92,263
10504,Jennersdorf,2011,69.98,844
10505,Minihof-Liebau,2011,74.38,241
10506,Mogersdorf,2011,69.63,243
10507,Neuhaus am Klausenbach,2011,68.03,183
10508,Rudersdorf,2011,66.62,441
10509,Sankt Martin an der Raab,2011,71.43,450
10510,Weichselbaum,2011,77.23,173
10511,Königsdorf,2011,78.5,168
10512,Mühlgraben,2011,76.72,89
10601,Draßburg,2011,75.07,253
10602,Forchtenstein,2011,82.83,690
10603,Hirm,2011,78.72,222
10604,Loipersbach im Burgenland,2011,78.08,285
10605,Marz,2011,83.67,492
10606,Mattersburg,2011,71.58,1453
10607,Neudörfl,2011,73.28,861
10608,Pöttelsdorf,2011,75.71,159
10609,Pöttsching,2011,74.77,643
10610,Rohrbach bei Mattersburg,2011,79.69,663
10611,Bad Sauerbrunn,2011,67.26,413
10612,Schattendorf,2011,77.69,571
10613,Sieggraben,2011,76.9,293
10614,Sigleß,2011,76.68,263
10615,Wiesen,2011,77.72,649
10616,Antau,2011,76.89,173
10617,Baumgarten,2011,76.81,202
10618,Zemendorf-Stöttera,2011,79.13,292
10619,Krensdorf,2011,76.3,132
10701,Andau,2011,79.44,568
10702,Apetlon,2011,80.61,449
10703,Bruckneudorf,2011,67.9,567
10704,Deutsch Jahrndorf,2011,70.95,127
10705,Frauenkirchen,2011,70.92,578
10706,Gattendorf,2011,75.49,271
10707,Gols,2011,74.98,806
10708,Halbturn,2011,78.26,450
10709,Illmitz,2011,80.83,582
10710,Jois,2011,76.72,313
10711,Kittsee,2011,72.31,444
10712,Mönchhof,2011,75.6,505
10713,Neusiedl am See,2011,64.24,1315
10714,Nickelsdorf,2011,72.52,351
10715,Pama,2011,80.83,253
10716,Pamhagen,2011,80.63,387
10717,Parndorf,2011,72.88,892
10718,Podersdorf am See,2011,73.15,455
10719,Sankt Andrä am Zicksee,2011,79.27,325
10720,Tadten,2011,83.65,312
10721,Wallern im Burgenland,2011,75.29,396
10722,Weiden am See,2011,75.7,511
10723,Winden am See,2011,77.08,296
10724,Zurndorf,2011,76.57,464
10725,Neudorf,2011,77.25,163
10726,Potzneusiedl,2011,66.88,107
10727,Edelstal,2011,79.89,147
10801,Deutschkreutz,2011,79.22,747
10802,Draßmarkt,2011,76.57,304
10803,Frankenau-Unterpullendorf,2011,77.22,261
10804,Großwarasdorf,2011,78.12,332
10805,Horitschon,2011,83.27,453
10806,Kaisersdorf,2011,73.18,131
10807,Kobersdorf,2011,73.78,425
10808,Lackenbach,2011,81,243
10809,Lockenhaus,2011,72.74,411
10810,Lutzmannsburg,2011,72.73,184
10811,Mannersdorf an der Rabnitz,2011,78.67,413
10812,Markt Sankt Martin,2011,80.84,270
10813,Neckenmarkt,2011,85.19,420
10814,Neutal,2011,78.98,248
10815,Nikitsch,2011,85.19,328
10816,Oberpullendorf,2011,68.85,577
10817,Pilgersdorf,2011,77.71,359
10818,Piringsdorf,2011,77.51,193
10819,Raiding,2011,81.7,183
10820,Ritzing,2011,80.75,214
10821,Steinberg-Dörfl,2011,81.27,308
10822,Stoob,2011,74.71,319
10823,Weppersdorf,2011,77.27,408
10824,Lackendorf,2011,79.53,136
10825,Unterfrauenhaid,2011,77.72,143
10826,Unterrabnitz-Schwendgraben,2011,81.77,157
10827,Weingraben,2011,74.07,80
10828,Oberloisdorf,2011,81.09,193
10901,Bad Tatzmannsdorf,2011,72.29,287
10902,Bernstein,2011,77.54,504
10903,Deutsch Schützen-Eisenberg,2011,74.1,246
10904,Grafenschachen,2011,77.78,280
10905,Großpetersdorf,2011,71.93,738
10906,Hannersdorf,2011,79.28,176
10907,Kemeten,2011,70.44,305
10908,Kohfidisch,2011,75.53,321
10909,Litzelsdorf,2011,78.04,263
10910,Loipersdorf-Kitzladen,2011,74.04,271
10911,Mariasdorf,2011,77.38,260
10912,Markt Allhau,2011,74.59,405
10913,Markt Neuhodis,2011,80.2,158
10914,Mischendorf,2011,77.76,402
10915,Oberdorf im Burgenland,2011,80.19,247
10916,Oberschützen,2011,73.81,513
10917,Oberwart,2011,67.41,1365
10918,Pinkafeld,2011,71.64,1081
10919,Rechnitz,2011,76.88,635
10920,Riedlingsdorf,2011,72.23,359
10921,Rotenturm an der Pinka,2011,76.18,323
10922,Schachendorf,2011,74.65,159
10923,Stadtschlaining,2011,77.91,476
10924,Unterkohlstätten,2011,88.78,277
10925,Unterwart,2011,72.62,191
10926,Weiden bei Rechnitz,2011,74.26,176
10927,Wiesfleck,2011,81.6,266
10928,Wolfau,2011,68.35,270
10929,Neustift an der Lafnitz,2011,69.43,159
10930,Jabing,2011,77.22,183
10931,Badersdorf,2011,73.91,68
10932,Schandorf,2011,81.18,69
20101,Klagenfurt am Wörthersee,2011,61.47,15475
20201,Villach,2011,66.06,10812
20302,Dellach,2011,76.65,279
20305,Hermagor-Pressegger See,2011,74.44,1500
20306,Kirchbach,2011,75.88,541
20307,Kötschach-Mauthen,2011,71.71,682
20316,St. Stefan im Gailtal,2011,75.38,349
20320,Gitschtal,2011,76.94,277
20321,Lesachtal,2011,73.5,269
