ID,Name,year,bevölkerung_nach_staatsangehörigkeitsgruppen_p,bevölkerung_nach_staatsangehörigkeitsgruppen_abs
10101,Eisenstadt,2008,8.12,1019
10201,Rust,2008,4.74,86
10301,Breitenbrunn am Neusiedler See,2008,4.79,87
10302,Donnerskirchen,2008,5.01,86
10303,Großhöflein,2008,2.55,47
10304,Hornstein,2008,8.55,229
10305,Klingenbach,2008,8.6,98
10306,Leithaprodersdorf,2008,1.99,23
10307,Mörbisch am See,2008,4.28,102
10308,Müllendorf,2008,4.11,53
10309,Neufeld an der Leitha,2008,7.31,230
10310,Oggau am Neusiedler See,2008,1.94,35
10311,Oslip,2008,4.7,61
10312,Purbach am Neusiedler See,2008,3.82,102
10313,Sankt Margarethen im Burgenland,2008,3.56,98
10314,Schützen am Gebirge,2008,3.82,53
10315,Siegendorf,2008,9.33,261
10316,Steinbrunn,2008,5.82,127
10317,Trausdorf an der Wulka,2008,5.51,103
10318,Wimpassing an der Leitha,2008,4.55,53
10319,Wulkaprodersdorf,2008,6.63,123
10320,Loretto,2008,2.69,11
10321,Stotzing,2008,2.94,24
10322,Zillingtal,2008,7.34,65
10323,Zagersdorf,2008,5.13,49
10401,Bocksdorf,2008,1.12,9
10402,Burgauberg-Neudauberg,2008,2.02,28
10403,Eberau,2008,7.26,71
10404,Gerersdorf-Sulz,2008,3.67,39
10405,Güssing,2008,5.24,197
10406,Güttenbach,2008,3.37,32
10407,Heiligenbrunn,2008,2.73,23
10408,Kukmirn,2008,2.21,44
10409,Neuberg im Burgenland,2008,2.94,30
10410,Neustift bei Güssing,2008,2.34,12
10411,Olbendorf,2008,1.39,19
10412,Ollersdorf im Burgenland,2008,3.28,32
10413,Sankt Michael im Burgenland,2008,3.71,39
10414,Stegersbach,2008,5.55,135
10415,Stinatz,2008,12.92,178
10416,Strem,2008,3.97,37
10417,Tobaj,2008,8.15,118
10418,Hackerberg,2008,2.8,10
10419,Wörterberg,2008,1.87,9
10420,Großmürbisch,2008,1.47,4
10421,Inzenhof,2008,2.24,7
10422,Kleinmürbisch,2008,,
10423,Tschanigraben,2008,3.08,2
10424,Heugraben,2008,0.87,2
10425,Rohr im Burgenland,2008,0.79,3
10426,Bildein,2008,2.53,8
10427,Rauchwart,2008,4.94,23
10428,Moschendorf,2008,2.61,11
10501,Deutsch Kaltenbrunn,2008,3,53
10502,Eltendorf,2008,4.74,48
10503,Heiligenkreuz im Lafnitztal,2008,5.09,63
10504,Jennersdorf,2008,4.49,189
10505,Minihof-Liebau,2008,2.64,30
10506,Mogersdorf,2008,4.6,53
10507,Neuhaus am Klausenbach,2008,2.16,21
10508,Rudersdorf,2008,2.89,62
10509,Sankt Martin an der Raab,2008,2.74,57
10510,Weichselbaum,2008,2.96,22
10511,Königsdorf,2008,3.32,24
10512,Mühlgraben,2008,2.27,10
10601,Draßburg,2008,6.7,73
10602,Forchtenstein,2008,4.77,135
10603,Hirm,2008,8.13,77
10604,Loipersbach im Burgenland,2008,3.7,47
10605,Marz,2008,5.34,106
10606,Mattersburg,2008,8.23,560
10607,Neudörfl,2008,10.3,441
10608,Pöttelsdorf,2008,2.36,16
10609,Pöttsching,2008,3.69,104
10610,Rohrbach bei Mattersburg,2008,5.67,153
10611,Bad Sauerbrunn,2008,6.39,127
10612,Schattendorf,2008,2.38,57
10613,Sieggraben,2008,5.02,64
10614,Sigleß,2008,3.22,36
10615,Wiesen,2008,4.05,114
10616,Antau,2008,5.76,42
10617,Baumgarten,2008,8.97,77
10618,Zemendorf-Stöttera,2008,5.53,69
10619,Krensdorf,2008,3.4,21
10701,Andau,2008,2.63,63
10702,Apetlon,2008,2.59,47
10703,Bruckneudorf,2008,6.6,187
10704,Deutsch Jahrndorf,2008,6.21,36
10705,Frauenkirchen,2008,4.9,141
10706,Gattendorf,2008,3.8,44
10707,Gols,2008,4.41,160
10708,Halbturn,2008,2.01,39
10709,Illmitz,2008,3.11,76
10710,Jois,2008,5.15,72
10711,Kittsee,2008,9.42,179
10712,Mönchhof,2008,2.92,67
10713,Neusiedl am See,2008,7.88,504
10714,Nickelsdorf,2008,4.92,75
10715,Pama,2008,4.75,49
10716,Pamhagen,2008,1.98,34
10717,Parndorf,2008,9.18,356
10718,Podersdorf am See,2008,5.08,105
10719,Sankt Andrä am Zicksee,2008,1.7,23
10720,Tadten,2008,1.35,17
10721,Wallern im Burgenland,2008,3.75,70
10722,Weiden am See,2008,4.66,98
10723,Winden am See,2008,3.46,42
10724,Zurndorf,2008,3.85,77
10725,Neudorf,2008,3.38,23
10726,Potzneusiedl,2008,2.78,14
10727,Edelstal,2008,1.16,7
10801,Deutschkreutz,2008,2.75,86
10802,Draßmarkt,2008,1.74,24
10803,Frankenau-Unterpullendorf,2008,4.04,48
10804,Großwarasdorf,2008,6.61,101
10805,Horitschon,2008,6.09,116
10806,Kaisersdorf,2008,3.37,19
10807,Kobersdorf,2008,3.54,68
10808,Lackenbach,2008,3.86,43
10809,Lockenhaus,2008,3.28,65
10810,Lutzmannsburg,2008,3.66,32
10811,Mannersdorf an der Rabnitz,2008,2.91,52
10812,Markt Sankt Martin,2008,2.4,28
10813,Neckenmarkt,2008,1.79,30
10814,Neutal,2008,3.9,41
10815,Nikitsch,2008,2.63,38
10816,Oberpullendorf,2008,7.59,227
10817,Pilgersdorf,2008,1.64,27
10818,Piringsdorf,2008,0.69,6
10819,Raiding,2008,0.84,7
10820,Ritzing,2008,1.49,13
10821,Steinberg-Dörfl,2008,4.21,53
10822,Stoob,2008,4.43,63
10823,Weppersdorf,2008,2.8,50
10824,Lackendorf,2008,2.91,17
10825,Unterfrauenhaid,2008,9.26,63
10826,Unterrabnitz-Schwendgraben,2008,1.08,7
10827,Weingraben,2008,6.27,23
10828,Oberloisdorf,2008,1.27,10
10901,Bad Tatzmannsdorf,2008,6.94,92
10902,Bernstein,2008,5.09,117
10903,Deutsch Schützen-Eisenberg,2008,1.72,19
10904,Grafenschachen,2008,0.81,10
10905,Großpetersdorf,2008,3.25,115
10906,Hannersdorf,2008,3.16,25
10907,Kemeten,2008,2.75,42
10908,Kohfidisch,2008,3.14,46
10909,Litzelsdorf,2008,3.93,46
10910,Loipersdorf-Kitzladen,2008,0.48,6
10911,Mariasdorf,2008,1.08,13
10912,Markt Allhau,2008,3.16,58
10913,Markt Neuhodis,2008,3.3,23
10914,Mischendorf,2008,1.35,23
10915,Oberdorf im Burgenland,2008,1.83,19
10916,Oberschützen,2008,6.46,151
10917,Oberwart,2008,7.83,541
10918,Pinkafeld,2008,5.43,289
10919,Rechnitz,2008,4.86,151
10920,Riedlingsdorf,2008,2.61,43
10921,Rotenturm an der Pinka,2008,5.96,86
10922,Schachendorf,2008,9.57,77
10923,Stadtschlaining,2008,2.53,53
10924,Unterkohlstätten,2008,1.24,13
10925,Unterwart,2008,6.33,57
10926,Weiden bei Rechnitz,2008,1.62,14
10927,Wiesfleck,2008,0.97,11
10928,Wolfau,2008,4.62,63
10929,Neustift an der Lafnitz,2008,1.17,8
10930,Jabing,2008,2.13,16
10931,Badersdorf,2008,0.32,1
10932,Schandorf,2008,5.44,16
20101,Klagenfurt am Wörthersee,2008,9.57,8873
20201,Villach,2008,11.53,6769
20302,Dellach,2008,6.26,85
20305,Hermagor-Pressegger See,2008,5.95,426
20306,Kirchbach,2008,4.18,116
20307,Kötschach-Mauthen,2008,5.1,179
20316,St. Stefan im Gailtal,2008,5.15,85
20320,Gitschtal,2008,6.76,88
20321,Lesachtal,2008,2.35,35
20402,Ebenthal in Kärnten,2008,4.1,312
20403,Feistritz im Rosental,2008,6.88,181
20405,Ferlach,2008,7.63,565
20409,Grafenstein,2008,3.94,109
20412,Keutschach am See,2008,5.33,129
20414,Köttmannsdorf,2008,5.42,158
20415,Krumpendorf am Wörthersee,2008,8.63,284
20416,Ludmannsdorf,2008,4.4,81
20417,Maria Rain,2008,6.38,147
20418,Maria Saal,2008,3.47,136
20419,Maria Wörth,2008,6.98,99
20421,Moosburg,2008,4.71,211
20424,Pörtschach am Wörther See,2008,8.96,235
20425,Poggersdorf,2008,3.49,104
20428,St. Margareten im Rosental,2008,3.11,34
20432,Schiefling am Wörthersee,2008,8.75,221
20435,Techelsberg am Wörther See,2008,6.51,142
20441,Zell,2008,2.17,14
20442,Magdalensberg,2008,3.51,112
20501,Althofen,2008,4.08,192
20502,Brückl,2008,2.59,76
20503,Deutsch-Griffen,2008,2.53,25
20504,Eberstein,2008,4.8,72
20505,Friesach,2008,2.89,151
20506,Glödnitz,2008,3.1,29
20508,Gurk,2008,1.46,19
20509,Guttaring,2008,2.34,35
20511,Hüttenberg,2008,2.33,38
20512,Kappel am Krappfeld,2008,2.38,48
20513,Klein St. Paul,2008,2.21,44
20515,Liebenfels,2008,2.84,93
20518,Metnitz,2008,1.68,38
20519,Micheldorf,2008,4.04,46
20520,Mölbling,2008,2.78,36
20523,St. Georgen am Längsee,2008,3.86,140
20527,St. Veit an der Glan,2008,7.34,951
20530,Straßburg,2008,4.15,91
20531,Weitensfeld im Gurktal,2008,2.56,59
20534,Frauenstein,2008,2.64,96
20601,Bad Kleinkirchheim,2008,11.1,205
20602,Baldramsdorf,2008,2.02,38
20603,Berg im Drautal,2008,2.72,37
20604,Dellach im Drautal,2008,1.82,31
20605,Großkirchheim,2008,3.32,50
20607,Flattach,2008,3.23,42
20608,Gmünd in Kärnten,2008,2.67,71
20609,Greifenburg,2008,7.83,147
20610,Heiligenblut am Großglockner,2008,2.59,29
20611,Irschen,2008,1.95,40
20613,Kleblach-Lind,2008,2.19,27
20616,Lendorf,2008,3.33,59
20618,Mallnitz,2008,7.05,63
20619,Malta,2008,2.29,48
20620,Millstatt am See,2008,6.04,206
20622,Mörtschach,2008,1.61,14
20624,Mühldorf,2008,6.06,55
20625,Oberdrauburg,2008,4.14,54
20627,Obervellach,2008,5.22,123
20630,Radenthein,2008,5.44,354
20631,Rangersdorf,2008,2.15,38
20632,Rennweg am Katschberg,2008,1.57,30
20633,Sachsenburg,2008,5.6,78
20634,Seeboden am Millstätter See,2008,5.85,356
20635,Spittal an der Drau,2008,10.92,1737
20636,Stall,2008,1.5,26
20637,Steinfeld,2008,4.01,86
20638,Trebesing,2008,2.65,34
20639,Weißensee,2008,4.19,33
20640,Winklern,2008,2.43,29
20642,Krems in Kärnten,2008,1.61,32
20643,Lurnfeld,2008,3.11,82
20644,Reißeck,2008,4.75,114
20701,Afritz am See,2008,3.26,48
20702,Arnoldstein,2008,9.13,625
20703,Arriach,2008,3.21,48
20705,Bad Bleiberg,2008,3.84,98
20707,Feistritz an der Gail,2008,2.26,15
20708,Feld am See,2008,3.15,37
20710,Ferndorf,2008,3.15,74
20711,Finkenstein am Faaker See,2008,7.51,628
20712,Fresach,2008,1.92,25
20713,Hohenthurn,2008,3.5,29
20719,Nötsch im Gailtal,2008,3.95,92
20720,Paternion,2008,6.12,370
20721,Rosegg,2008,5.57,102
20722,St. Jakob im Rosental,2008,5.22,230
20723,Stockenboi,2008,2.56,43
20724,Treffen am Ossiacher See,2008,5.83,256
20725,Velden am Wörther See,2008,7.7,673
20726,Weißenstein,2008,3.49,108
20727,Wernberg,2008,6.84,358
20801,Bleiburg,2008,5.51,216
20802,Diex,2008,2.86,24
20803,Eberndorf,2008,4.61,276
20804,Eisenkappel-Vellach,2008,4.67,116
20805,Feistritz ob Bleiburg,2008,3.92,83
20806,Gallizien,2008,2.57,45
20807,Globasnitz,2008,2.41,40
20808,Griffen,2008,3.31,120
20810,Neuhaus,2008,2.54,29
20812,Ruden,2008,3.69,57
20813,St. Kanzian am Klopeiner See,2008,7.47,328
20815,Sittersdorf,2008,3.92,82
20817,Völkermarkt,2008,5.16,587
20901,Bad St. Leonhard im Lavanttal,2008,2.39,112
20905,Frantschach-St. Gertraud,2008,7.04,196
20909,Lavamünd,2008,2.14,70
20911,Preitenegg,2008,1.3,14
20912,Reichenfels,2008,1.93,38
20913,St. Andrä,2008,2.43,254
20914,St. Georgen im Lavanttal,2008,1.48,30
20918,St. Paul im Lavanttal,2008,3.54,126
20923,Wolfsberg,2008,4.53,1151
21001,Albeck,2008,3.8,41
21002,Feldkirchen in Kärnten,2008,5.85,835
21003,Glanegg,2008,2.51,49
21004,Gnesau,2008,4.97,58
21005,Himmelberg,2008,3.41,81
21006,Ossiach,2008,6.49,49
21007,Reichenau,2008,3.68,73
21008,St. Urban,2008,6.42,97
21009,Steindorf am Ossiacher See,2008,6.02,221
21010,Steuerberg,2008,2.52,44
30101,Krems an der Donau,2008,8.55,2052
30201,St. Pölten,2008,11.01,5665
30301,Waidhofen an der Ybbs,2008,4.26,493
30401,Wiener Neustadt,2008,10.47,4193
30501,Allhartsberg,2008,0.87,17
30502,Amstetten,2008,8.19,1889
30503,Ardagger,2008,1.65,54
30504,Aschbach-Markt,2008,6.37,232
30506,Behamberg,2008,2.94,95
30507,Biberbach,2008,2.06,44
30508,Ennsdorf,2008,7.74,209
30509,Ernsthofen,2008,3.09,68
30510,Ertl,2008,0.77,10
30511,Euratsfeld,2008,1.12,28
30512,Ferschnitz,2008,0.3,5
30514,Haag,2008,2.51,134
30515,Haidershofen,2008,2.54,90
30516,Hollenstein an der Ybbs,2008,1.95,35
30517,Kematen an der Ybbs,2008,6.89,174
30520,Neuhofen an der Ybbs,2008,1.98,53
30521,Neustadtl an der Donau,2008,0.76,16
30522,Oed-Oehling,2008,2.55,42
30524,Opponitz,2008,8.2,84
30526,St. Georgen am Reith,2008,1.92,11
30527,St. Georgen am Ybbsfelde,2008,4.8,129
30529,St. Pantaleon-Erla,2008,1.99,49
30530,St. Peter in der Au,2008,2.07,103
30531,St. Valentin,2008,4.34,400
30532,Seitenstetten,2008,3.65,117
30533,Sonntagberg,2008,5.18,207
30534,Strengberg,2008,2.77,56
30536,Viehdorf,2008,3.39,41
30538,Wallsee-Sindelburg,2008,2.67,57
30539,Weistrach,2008,0.59,13
30541,Winklarn,2008,2.26,34
30542,Wolfsbach,2008,1.36,25
30543,Ybbsitz,2008,1.44,53
30544,Zeillern,2008,0.88,15
30601,Alland,2008,8.39,202
30602,Altenmarkt an der Triesting,2008,12.16,254
30603,Bad Vöslau,2008,12.41,1388
30604,Baden,2008,12.81,3235
30605,Berndorf,2008,14.03,1216
30607,Ebreichsdorf,2008,9.45,894
30608,Enzesfeld-Lindabrunn,2008,7.73,315
30609,Furth an der Triesting,2008,1.62,13
30612,Günselsdorf,2008,10.4,182
30613,Heiligenkreuz,2008,12.89,189
30614,Hernstein,2008,3.72,53
30615,Hirtenberg,2008,18.81,495
30616,Klausen-Leopoldsdorf,2008,5.84,91
30618,Kottingbrunn,2008,9.61,709
30620,Leobersdorf,2008,12.02,533
30621,Mitterndorf an der Fischa,2008,7.38,143
30623,Oberwaltersdorf,2008,8.79,335
30625,Pfaffstätten,2008,8.67,274
30626,Pottendorf,2008,8.16,506
30627,Pottenstein,2008,11.36,345
30629,Reisenberg,2008,9.01,136
30631,Schönau an der Triesting,2008,9.48,184
30633,Seibersdorf,2008,3.44,47
30635,Sooß,2008,12.81,146
30636,Tattendorf,2008,8.56,108
30637,Teesdorf,2008,7.01,121
30639,Traiskirchen,2008,12.25,2039
30641,Trumau,2008,9.32,267
30645,Weissenbach an der Triesting,2008,9.91,171
30646,Blumau-Neurißhof,2008,12.23,223
30701,Au am Leithaberge,2008,2.1,19
30702,Bad Deutsch-Altenburg,2008,8.13,114
30703,Berg,2008,10.91,77
30704,Bruck an der Leitha,2008,7.97,607
30706,Enzersdorf an der Fischa,2008,4.93,145
30708,Göttlesbrunn-Arbesthal,2008,3.92,53
30709,Götzendorf an der Leitha,2008,12.92,254
30710,Hainburg a.d. Donau,2008,15.88,900
30711,Haslau-Maria Ellend,2008,5.22,95
30712,Höflein,2008,3.89,45
30713,Hof am Leithaberge,2008,5.63,79
30715,Hundsheim,2008,6.35,37
30716,Mannersdorf am Leithagebirge,2008,9.25,350
30718,Petronell-Carnuntum,2008,7.44,90
30719,Prellenkirchen,2008,3.92,54
30721,Rohrau,2008,7.31,113
30722,Scharndorf,2008,4.59,51
30724,Sommerein,2008,3.54,68
30726,Trautmannsdorf an der Leitha,2008,4.29,117
30728,Wolfsthal,2008,8.28,65
30729,Ebergassing,2008,15.01,561
30730,Fischamend,2008,9.55,436
30731,Gramatneusiedl,2008,13.24,353
30732,Himberg,2008,7.24,457
30733,Klein-Neusiedl,2008,5.02,40
30734,Lanzendorf,2008,8.17,133
30735,Leopoldsdorf,2008,5.84,253
30736,Maria-Lanzendorf,2008,9.62,197
30737,Moosbrunn,2008,5.83,95
30738,Rauchenwarth,2008,9.72,63
30739,Schwadorf,2008,11.43,217
30740,Schwechat,2008,13.07,2117
30741,Zwölfaxing,2008,7.75,119
30801,Aderklaa,2008,8.67,17
30802,Andlersdorf,2008,6.45,8
30803,Angern an der March,2008,7.53,245
30804,Auersthal,2008,6.32,117
30805,Bad Pirawarth,2008,5.6,90
30808,Deutsch-Wagram,2008,7.34,549
30810,Drösing,2008,4.82,57
30811,Dürnkrut,2008,3.85,86
30812,Ebenthal,2008,6.73,57
30813,Eckartsau,2008,6.57,75
30814,Engelhartstetten,2008,4.7,89
30817,Gänserndorf,2008,9.2,887
30819,Glinzendorf,2008,12.55,31
30821,Groß-Enzersdorf,2008,6.81,617
30822,Großhofen,2008,20.24,17
30824,Groß-Schweinbarth,2008,8.63,113
30825,Haringsee,2008,4.65,55
30826,Hauskirchen,2008,3.21,39
30827,Hohenau an der March,2008,4.67,128
30828,Hohenruppersdorf,2008,3.26,29
30829,Jedenspeigen,2008,2.72,30
30830,Lassee,2008,10.44,263
30831,Leopoldsdorf im Marchfelde,2008,8.63,210
30834,Mannsdorf an der Donau,2008,11.91,48
30835,Marchegg,2008,9.66,280
30836,Markgrafneusiedl,2008,5.63,47
30838,Matzen-Raggendorf,2008,8.52,225
30841,Neusiedl an der Zaya,2008,2.89,35
30842,Obersiebenbrunn,2008,5.68,95
30844,Orth an der Donau,2008,7.55,152
30845,Palterndorf-Dobermannsdorf,2008,3.23,40
30846,Parbasdorf,2008,9.52,14
30848,Prottes,2008,7.84,104
30849,Raasdorf,2008,20.91,133
30850,Ringelsdorf-Niederabsdorf,2008,1.88,25
30852,Schönkirchen-Reyersdorf,2008,6.32,122
30854,Spannberg,2008,4.72,45
30856,Strasshof an der Nordbahn,2008,7.46,606
30857,Sulz im Weinviertel,2008,2.86,34
30858,Untersiebenbrunn,2008,7.68,113
30859,Velm-Götzendorf,2008,3.95,30
30860,Weikendorf,2008,5.81,111
30863,Zistersdorf,2008,4.5,247
30865,Weiden an der March,2008,10.02,95
30902,Amaliendorf-Aalfang,2008,2.88,33
